course,term,label,capacity,registered,granted,denied,utilization,status
CMPS151,-6,Fall Y-2,105,100,100,0,0.9524,open
CMPS200,-6,Fall Y-2,105,100,100,0,0.9524,open
CMPS205,-6,Fall Y-2,140,100,100,0,0.7143,open
CMPS251,-6,Fall Y-2,105,0,0,0,0.0,open
CMPS350,-6,Fall Y-2,70,0,0,0,0.0,open
CMPS303,-6,Fall Y-2,70,0,0,0,0.0,open
CMPE263,-6,Fall Y-2,105,0,0,0,0.0,open
CMPS380,-6,Fall Y-2,140,0,0,0,0.0,open
CMPS310,-6,Fall Y-2,140,0,0,0,0.0,open
CMPE355,-6,Fall Y-2,140,0,0,0,0.0,open
CMPS493,-6,Fall Y-2,70,0,0,0,0.0,open
CMPS499,-6,Fall Y-2,70,0,0,0,0.0,open
ELEC_1,-6,Fall Y-2,70,0,0,0,0.0,open
ELEC_2,-6,Fall Y-2,70,0,0,0,0.0,open
ELEC_3,-6,Fall Y-2,70,0,0,0,0.0,open
ELEC_4,-6,Fall Y-2,70,0,0,0,0.0,open
SUPP_1,-6,Fall Y-2,105,100,100,0,0.9524,open
SUPP_2,-6,Fall Y-2,105,100,100,0,0.9524,open
MATH_1,-6,Fall Y-2,140,100,100,0,0.7143,open
MATH_2,-6,Fall Y-2,105,0,0,0,0.0,open
MATH_3,-6,Fall Y-2,140,0,0,0,0.0,open
MATH_4,-6,Fall Y-2,105,0,0,0,0.0,open
MATH_5,-6,Fall Y-2,105,0,0,0,0.0,open
PHYS_1,-6,Fall Y-2,140,0,0,0,0.0,open
PHYS_2,-6,Fall Y-2,70,0,0,0,0.0,open
CHEM_1,-6,Fall Y-2,105,0,0,0,0.0,open
ENGL_1,-6,Fall Y-2,105,100,100,0,0.9524,open
ENGL_2,-6,Fall Y-2,70,0,0,0,0.0,open
GED_1,-6,Fall Y-2,70,0,0,0,0.0,open
GED_2,-6,Fall Y-2,70,0,0,0,0.0,open
GED_3,-6,Fall Y-2,70,0,0,0,0.0,open
GED_4,-6,Fall Y-2,70,0,0,0,0.0,open
GED_5,-6,Fall Y-2,70,0,0,0,0.0,open
GED_6,-6,Fall Y-2,70,0,0,0,0.0,open
GED_7,-6,Fall Y-2,70,0,0,0,0.0,open
CMPS151,-5,Spring Y-2,105,25,25,0,0.2381,open
CMPS200,-5,Spring Y-2,105,10,10,0,0.0952,open
CMPS205,-5,Spring Y-2,140,26,26,0,0.1857,open
CMPS251,-5,Spring Y-2,105,75,75,0,0.7143,open
CMPS350,-5,Spring Y-2,70,0,0,0,0.0,open
CMPS303,-5,Spring Y-2,70,0,0,0,0.0,open
CMPE263,-5,Spring Y-2,105,56,56,0,0.5333,open
CMPS351,-5,Spring Y-2,140,0,0,0,0.0,open
CMPS405,-5,Spring Y-2,140,0,0,0,0.0,open
CMPS323,-5,Spring Y-2,140,0,0,0,0.0,open
CMPS493,-5,Spring Y-2,70,0,0,0,0.0,open
CMPS499,-5,Spring Y-2,70,0,0,0,0.0,open
ELEC_1,-5,Spring Y-2,70,0,0,0,0.0,open
ELEC_2,-5,Spring Y-2,70,0,0,0,0.0,open
ELEC_3,-5,Spring Y-2,70,0,0,0,0.0,open
ELEC_4,-5,Spring Y-2,70,0,0,0,0.0,open
SUPP_1,-5,Spring Y-2,105,13,13,0,0.1238,open
SUPP_2,-5,Spring Y-2,105,14,14,0,0.1333,open
MATH_1,-5,Spring Y-2,140,18,18,0,0.1286,open
MATH_2,-5,Spring Y-2,105,81,81,0,0.7714,open
MATH_3,-5,Spring Y-2,140,81,81,0,0.5786,open
MATH_4,-5,Spring Y-2,105,0,0,0,0.0,open
MATH_5,-5,Spring Y-2,105,0,0,0,0.0,open
PHYS_1,-5,Spring Y-2,140,77,77,0,0.55,open
PHYS_2,-5,Spring Y-2,70,0,0,0,0.0,open
CHEM_1,-5,Spring Y-2,105,22,22,0,0.2095,open
ENGL_1,-5,Spring Y-2,105,12,12,0,0.1143,open
ENGL_2,-5,Spring Y-2,70,8,8,0,0.1143,open
GED_1,-5,Spring Y-2,70,3,3,0,0.0429,open
GED_2,-5,Spring Y-2,70,0,0,0,0.0,open
GED_3,-5,Spring Y-2,70,0,0,0,0.0,open
GED_4,-5,Spring Y-2,70,0,0,0,0.0,open
GED_5,-5,Spring Y-2,70,0,0,0,0.0,open
GED_6,-5,Spring Y-2,70,0,0,0,0.0,open
GED_7,-5,Spring Y-2,70,0,0,0,0.0,open
CMPS151,-4,Fall Y-1,105,108,105,3,1.0,oversubscribed
CMPS200,-4,Fall Y-1,105,101,101,0,0.9619,open
CMPS205,-4,Fall Y-1,140,110,110,0,0.7857,open
CMPS251,-4,Fall Y-1,105,38,38,0,0.3619,open
CMPS350,-4,Fall Y-1,70,53,53,0,0.7571,open
CMPS303,-4,Fall Y-1,70,53,53,0,0.7571,open
CMPE263,-4,Fall Y-1,105,35,35,0,0.3333,open
CMPS380,-4,Fall Y-1,140,0,0,0,0.0,open
CMPS310,-4,Fall Y-1,140,53,53,0,0.3786,open
CMPE355,-4,Fall Y-1,140,43,43,0,0.3071,open
CMPS493,-4,Fall Y-1,70,0,0,0,0.0,open
CMPS499,-4,Fall Y-1,70,0,0,0,0.0,open
ELEC_1,-4,Fall Y-1,70,0,0,0,0.0,open
ELEC_2,-4,Fall Y-1,70,0,0,0,0.0,open
ELEC_3,-4,Fall Y-1,70,0,0,0,0.0,open
ELEC_4,-4,Fall Y-1,70,0,0,0,0.0,open
SUPP_1,-4,Fall Y-1,105,102,102,0,0.9714,open
SUPP_2,-4,Fall Y-1,105,101,101,0,0.9619,open
MATH_1,-4,Fall Y-1,140,105,105,0,0.75,open
MATH_2,-4,Fall Y-1,105,22,22,0,0.2095,open
MATH_3,-4,Fall Y-1,140,19,19,0,0.1357,open
MATH_4,-4,Fall Y-1,105,64,64,0,0.6095,open
MATH_5,-4,Fall Y-1,105,0,0,0,0.0,open
PHYS_1,-4,Fall Y-1,140,23,23,0,0.1643,open
PHYS_2,-4,Fall Y-1,70,26,26,0,0.3714,open
CHEM_1,-4,Fall Y-1,105,15,15,0,0.1429,open
ENGL_1,-4,Fall Y-1,105,100,100,0,0.9524,open
ENGL_2,-4,Fall Y-1,70,19,19,0,0.2714,open
GED_1,-4,Fall Y-1,70,6,6,0,0.0857,open
GED_2,-4,Fall Y-1,70,0,0,0,0.0,open
GED_3,-4,Fall Y-1,70,0,0,0,0.0,open
GED_4,-4,Fall Y-1,70,0,0,0,0.0,open
GED_5,-4,Fall Y-1,70,0,0,0,0.0,open
GED_6,-4,Fall Y-1,70,0,0,0,0.0,open
GED_7,-4,Fall Y-1,70,0,0,0,0.0,open
CMPS151,-3,Spring Y-1,105,33,33,0,0.3143,open
CMPS200,-3,Spring Y-1,105,9,9,0,0.0857,open
CMPS205,-3,Spring Y-1,140,27,27,0,0.1929,open
CMPS251,-3,Spring Y-1,105,87,87,0,0.8286,open
CMPS350,-3,Spring Y-1,70,35,35,0,0.5,open
CMPS303,-3,Spring Y-1,70,39,39,0,0.5571,open
CMPE263,-3,Spring Y-1,105,75,75,0,0.7143,open
CMPS351,-3,Spring Y-1,140,76,76,0,0.5429,open
CMPS405,-3,Spring Y-1,140,32,32,0,0.2286,open
CMPS323,-3,Spring Y-1,140,38,38,0,0.2714,open
CMPS493,-3,Spring Y-1,70,0,0,0,0.0,open
CMPS499,-3,Spring Y-1,70,0,0,0,0.0,open
ELEC_1,-3,Spring Y-1,70,0,0,0,0.0,open
ELEC_2,-3,Spring Y-1,70,0,0,0,0.0,open
ELEC_3,-3,Spring Y-1,70,0,0,0,0.0,open
ELEC_4,-3,Spring Y-1,70,0,0,0,0.0,open
SUPP_1,-3,Spring Y-1,105,13,13,0,0.1238,open
SUPP_2,-3,Spring Y-1,105,8,8,0,0.0762,open
MATH_1,-3,Spring Y-1,140,28,28,0,0.2,open
MATH_2,-3,Spring Y-1,105,79,79,0,0.7524,open
MATH_3,-3,Spring Y-1,140,81,81,0,0.5786,open
MATH_4,-3,Spring Y-1,105,34,34,0,0.3238,open
MATH_5,-3,Spring Y-1,105,50,50,0,0.4762,open
PHYS_1,-3,Spring Y-1,140,101,101,0,0.7214,open
PHYS_2,-3,Spring Y-1,70,46,46,0,0.6571,open
CHEM_1,-3,Spring Y-1,105,39,39,0,0.3714,open
ENGL_1,-3,Spring Y-1,105,14,14,0,0.1333,open
ENGL_2,-3,Spring Y-1,70,22,22,0,0.3143,open
GED_1,-3,Spring Y-1,70,15,15,0,0.2143,open
GED_2,-3,Spring Y-1,70,7,7,0,0.1,open
GED_3,-3,Spring Y-1,70,4,4,0,0.0571,open
GED_4,-3,Spring Y-1,70,0,0,0,0.0,open
GED_5,-3,Spring Y-1,70,0,0,0,0.0,open
GED_6,-3,Spring Y-1,70,0,0,0,0.0,open
GED_7,-3,Spring Y-1,70,0,0,0,0.0,open
CMPS151,-2,Fall Y0,105,110,105,5,1.0,oversubscribed
CMPS200,-2,Fall Y0,105,102,102,0,0.9714,open
CMPS205,-2,Fall Y0,140,107,107,0,0.7643,open
CMPS251,-2,Fall Y0,105,54,54,0,0.5143,open
CMPS350,-2,Fall Y0,70,58,58,0,0.8286,open
CMPS303,-2,Fall Y0,70,63,63,0,0.9,open
CMPE263,-2,Fall Y0,105,49,49,0,0.4667,open
CMPS380,-2,Fall Y0,140,66,66,0,0.4714,open
CMPS310,-2,Fall Y0,140,89,89,0,0.6357,open
CMPE355,-2,Fall Y0,140,90,90,0,0.6429,open
CMPS493,-2,Fall Y0,70,0,0,0,0.0,open
CMPS499,-2,Fall Y0,70,0,0,0,0.0,open
ELEC_1,-2,Fall Y0,70,37,37,0,0.5286,open
ELEC_2,-2,Fall Y0,70,37,37,0,0.5286,open
ELEC_3,-2,Fall Y0,70,29,29,0,0.4143,open
ELEC_4,-2,Fall Y0,70,15,15,0,0.2143,open
SUPP_1,-2,Fall Y0,105,100,100,0,0.9524,open
SUPP_2,-2,Fall Y0,105,101,101,0,0.9619,open
MATH_1,-2,Fall Y0,140,106,106,0,0.7571,open
MATH_2,-2,Fall Y0,105,32,32,0,0.3048,open
MATH_3,-2,Fall Y0,140,36,36,0,0.2571,open
MATH_4,-2,Fall Y0,105,71,71,0,0.6762,open
MATH_5,-2,Fall Y0,105,27,27,0,0.2571,open
PHYS_1,-2,Fall Y0,140,25,25,0,0.1786,open
PHYS_2,-2,Fall Y0,70,59,59,0,0.8429,open
CHEM_1,-2,Fall Y0,105,31,31,0,0.2952,open
ENGL_1,-2,Fall Y0,105,101,101,0,0.9619,open
ENGL_2,-2,Fall Y0,70,50,50,0,0.7143,open
GED_1,-2,Fall Y0,70,17,17,0,0.2429,open
GED_2,-2,Fall Y0,70,5,5,0,0.0714,open
GED_3,-2,Fall Y0,70,4,4,0,0.0571,open
GED_4,-2,Fall Y0,70,1,1,0,0.0143,open
GED_5,-2,Fall Y0,70,1,1,0,0.0143,open
GED_6,-2,Fall Y0,70,0,0,0,0.0,open
GED_7,-2,Fall Y0,70,0,0,0,0.0,open
CMPS151,-1,Spring Y0,105,20,20,0,0.1905,open
CMPS200,-1,Spring Y0,105,6,6,0,0.0571,open
CMPS205,-1,Spring Y0,140,23,23,0,0.1643,open
CMPS251,-1,Spring Y0,105,99,99,0,0.9429,open
CMPS350,-1,Spring Y0,70,53,53,0,0.7571,open
CMPS303,-1,Spring Y0,70,53,53,0,0.7571,open
CMPE263,-1,Spring Y0,105,88,88,0,0.8381,open
CMPS351,-1,Spring Y0,140,106,106,0,0.7571,open
CMPS405,-1,Spring Y0,140,87,87,0,0.6214,open
CMPS323,-1,Spring Y0,140,87,87,0,0.6214,open
CMPS493,-1,Spring Y0,70,8,8,0,0.1143,open
CMPS499,-1,Spring Y0,70,0,0,0,0.0,open
ELEC_1,-1,Spring Y0,70,46,46,0,0.6571,open
ELEC_2,-1,Spring Y0,70,39,39,0,0.5571,open
ELEC_3,-1,Spring Y0,70,35,35,0,0.5,open
ELEC_4,-1,Spring Y0,70,30,30,0,0.4286,open
SUPP_1,-1,Spring Y0,105,16,16,0,0.1524,open
SUPP_2,-1,Spring Y0,105,9,9,0,0.0857,open
MATH_1,-1,Spring Y0,140,21,21,0,0.15,open
MATH_2,-1,Spring Y0,105,91,91,0,0.8667,open
MATH_3,-1,Spring Y0,140,93,93,0,0.6643,open
MATH_4,-1,Spring Y0,105,33,33,0,0.3143,open
MATH_5,-1,Spring Y0,105,68,68,0,0.6476,open
PHYS_1,-1,Spring Y0,140,91,91,0,0.65,open
PHYS_2,-1,Spring Y0,70,57,57,0,0.8143,open
CHEM_1,-1,Spring Y0,105,57,57,0,0.5429,open
ENGL_1,-1,Spring Y0,105,11,11,0,0.1048,open
ENGL_2,-1,Spring Y0,70,38,38,0,0.5429,open
GED_1,-1,Spring Y0,70,42,42,0,0.6,open
GED_2,-1,Spring Y0,70,25,25,0,0.3571,open
GED_3,-1,Spring Y0,70,13,13,0,0.1857,open
GED_4,-1,Spring Y0,70,5,5,0,0.0714,open
GED_5,-1,Spring Y0,70,3,3,0,0.0429,open
GED_6,-1,Spring Y0,70,1,1,0,0.0143,open
GED_7,-1,Spring Y0,70,0,0,0,0.0,open
CMPS151,0,Fall Y1,105,107,105,2,1.0,oversubscribed
CMPS200,0,Fall Y1,105,101,101,0,0.9619,open
CMPS205,0,Fall Y1,140,106,106,0,0.7571,open
CMPS251,0,Fall Y1,105,38,38,0,0.3619,open
CMPS350,0,Fall Y1,70,83,70,13,1.0,oversubscribed
CMPS303,0,Fall Y1,70,83,70,13,1.0,oversubscribed
CMPE263,0,Fall Y1,105,44,44,0,0.419,open
CMPS380,0,Fall Y1,140,100,100,0,0.7143,open
CMPS310,0,Fall Y1,140,123,123,0,0.8786,open
CMPE355,0,Fall Y1,140,115,115,0,0.8214,open
CMPS493,0,Fall Y1,70,33,33,0,0.4714,open
CMPS499,0,Fall Y1,70,8,8,0,0.1143,open
ELEC_1,0,Fall Y1,70,54,54,0,0.7714,open
ELEC_2,0,Fall Y1,70,58,58,0,0.8286,open
ELEC_3,0,Fall Y1,70,56,56,0,0.8,open
ELEC_4,0,Fall Y1,70,55,55,0,0.7857,open
SUPP_1,0,Fall Y1,105,103,103,0,0.981,open
SUPP_2,0,Fall Y1,105,101,101,0,0.9619,open
MATH_1,0,Fall Y1,140,107,107,0,0.7643,open
MATH_2,0,Fall Y1,105,26,26,0,0.2476,open
MATH_3,0,Fall Y1,140,23,23,0,0.1643,open
MATH_4,0,Fall Y1,105,77,77,0,0.7333,open
MATH_5,0,Fall Y1,105,36,36,0,0.3429,open
PHYS_1,0,Fall Y1,140,23,23,0,0.1643,open
PHYS_2,0,Fall Y1,70,47,47,0,0.6714,open
CHEM_1,0,Fall Y1,105,34,34,0,0.3238,open
ENGL_1,0,Fall Y1,105,101,101,0,0.9619,open
ENGL_2,0,Fall Y1,70,55,55,0,0.7857,open
GED_1,0,Fall Y1,70,43,43,0,0.6143,open
GED_2,0,Fall Y1,70,48,48,0,0.6857,open
GED_3,0,Fall Y1,70,46,46,0,0.6571,open
GED_4,0,Fall Y1,70,45,45,0,0.6429,open
GED_5,0,Fall Y1,70,31,31,0,0.4429,open
GED_6,0,Fall Y1,70,24,24,0,0.3429,open
GED_7,0,Fall Y1,70,14,14,0,0.2,open
CMPS151,1,Spring Y1,105,28,28,0,0.2667,open
CMPS200,1,Spring Y1,105,6,6,0,0.0571,open
CMPS205,1,Spring Y1,140,22,22,0,0.1571,open
CMPS251,1,Spring Y1,105,90,90,0,0.8571,open
CMPS350,1,Spring Y1,70,51,51,0,0.7286,open
CMPS303,1,Spring Y1,70,46,46,0,0.6571,open
CMPE263,1,Spring Y1,105,76,76,0,0.7238,open
CMPS351,1,Spring Y1,140,111,111,0,0.7929,open
CMPS405,1,Spring Y1,140,117,117,0,0.8357,open
CMPS323,1,Spring Y1,140,120,120,0,0.8571,open
CMPS493,1,Spring Y1,70,43,43,0,0.6143,open
CMPS499,1,Spring Y1,70,30,30,0,0.4286,open
ELEC_1,1,Spring Y1,70,40,40,0,0.5714,open
ELEC_2,1,Spring Y1,70,42,42,0,0.6,open
ELEC_3,1,Spring Y1,70,36,36,0,0.5143,open
ELEC_4,1,Spring Y1,70,46,46,0,0.6571,open
SUPP_1,1,Spring Y1,105,12,12,0,0.1143,open
SUPP_2,1,Spring Y1,105,7,7,0,0.0667,open
MATH_1,1,Spring Y1,140,25,25,0,0.1786,open
MATH_2,1,Spring Y1,105,84,84,0,0.8,open
MATH_3,1,Spring Y1,140,90,90,0,0.6429,open
MATH_4,1,Spring Y1,105,35,35,0,0.3333,open
MATH_5,1,Spring Y1,105,71,71,0,0.6762,open
PHYS_1,1,Spring Y1,140,110,110,0,0.7857,open
PHYS_2,1,Spring Y1,70,59,59,0,0.8429,open
CHEM_1,1,Spring Y1,105,70,70,0,0.6667,open
ENGL_1,1,Spring Y1,105,8,8,0,0.0762,open
ENGL_2,1,Spring Y1,70,41,41,0,0.5857,open
GED_1,1,Spring Y1,70,53,53,0,0.7571,open
GED_2,1,Spring Y1,70,52,52,0,0.7429,open
GED_3,1,Spring Y1,70,33,33,0,0.4714,open
GED_4,1,Spring Y1,70,29,29,0,0.4143,open
GED_5,1,Spring Y1,70,31,31,0,0.4429,open
GED_6,1,Spring Y1,70,33,33,0,0.4714,open
GED_7,1,Spring Y1,70,33,33,0,0.4714,open
CMPS151,2,Fall Y2,105,111,105,6,1.0,oversubscribed
CMPS200,2,Fall Y2,105,101,101,0,0.9619,open
CMPS205,2,Fall Y2,140,108,108,0,0.7714,open
CMPS251,2,Fall Y2,105,38,38,0,0.3619,open
CMPS350,2,Fall Y2,70,83,70,13,1.0,oversubscribed
CMPS303,2,Fall Y2,70,84,70,14,1.0,oversubscribed
CMPE263,2,Fall Y2,105,35,35,0,0.3333,open
CMPS380,2,Fall Y2,140,107,107,0,0.7643,open
CMPS310,2,Fall Y2,140,128,128,0,0.9143,open
CMPE355,2,Fall Y2,140,122,122,0,0.8714,open
CMPS493,2,Fall Y2,70,39,39,0,0.5571,open
CMPS499,2,Fall Y2,70,38,38,0,0.5429,open
ELEC_1,2,Fall Y2,70,71,70,1,1.0,oversubscribed
ELEC_2,2,Fall Y2,70,76,70,6,1.0,oversubscribed
ELEC_3,2,Fall Y2,70,70,70,0,1.0,full
ELEC_4,2,Fall Y2,70,61,61,0,0.8714,open
SUPP_1,2,Fall Y2,105,100,100,0,0.9524,open
SUPP_2,2,Fall Y2,105,102,102,0,0.9714,open
MATH_1,2,Fall Y2,140,105,105,0,0.75,open
MATH_2,2,Fall Y2,105,34,34,0,0.3238,open
MATH_3,2,Fall Y2,140,22,22,0,0.1571,open
MATH_4,2,Fall Y2,105,80,80,0,0.7619,open
MATH_5,2,Fall Y2,105,31,31,0,0.2952,open
PHYS_1,2,Fall Y2,140,22,22,0,0.1571,open
PHYS_2,2,Fall Y2,70,51,51,0,0.7286,open
CHEM_1,2,Fall Y2,105,25,25,0,0.2381,open
ENGL_1,2,Fall Y2,105,104,104,0,0.9905,open
ENGL_2,2,Fall Y2,70,60,60,0,0.8571,open
GED_1,2,Fall Y2,70,31,31,0,0.4429,open
GED_2,2,Fall Y2,70,32,32,0,0.4571,open
GED_3,2,Fall Y2,70,51,51,0,0.7286,open
GED_4,2,Fall Y2,70,57,57,0,0.8143,open
GED_5,2,Fall Y2,70,56,56,0,0.8,open
GED_6,2,Fall Y2,70,50,50,0,0.7143,open
GED_7,2,Fall Y2,70,46,46,0,0.6571,open
CMPS151,3,Spring Y2,105,28,28,0,0.2667,open
CMPS200,3,Spring Y2,105,7,7,0,0.0667,open
CMPS205,3,Spring Y2,140,29,29,0,0.2071,open
CMPS251,3,Spring Y2,105,92,92,0,0.8762,open
CMPS350,3,Spring Y2,70,58,58,0,0.8286,open
CMPS303,3,Spring Y2,70,52,52,0,0.7429,open
CMPE263,3,Spring Y2,105,71,71,0,0.6762,open
CMPS351,3,Spring Y2,140,112,112,0,0.8,open
CMPS405,3,Spring Y2,140,122,122,0,0.8714,open
CMPS323,3,Spring Y2,140,107,107,0,0.7643,open
CMPS493,3,Spring Y2,70,46,46,0,0.6571,open
CMPS499,3,Spring Y2,70,38,38,0,0.5429,open
ELEC_1,3,Spring Y2,70,47,47,0,0.6714,open
ELEC_2,3,Spring Y2,70,49,49,0,0.7,open
ELEC_3,3,Spring Y2,70,37,37,0,0.5286,open
ELEC_4,3,Spring Y2,70,47,47,0,0.6714,open
SUPP_1,3,Spring Y2,105,7,7,0,0.0667,open
SUPP_2,3,Spring Y2,105,9,9,0,0.0857,open
MATH_1,3,Spring Y2,140,9,9,0,0.0643,open
MATH_2,3,Spring Y2,105,106,105,1,1.0,oversubscribed
MATH_3,3,Spring Y2,140,110,110,0,0.7857,open
MATH_4,3,Spring Y2,105,41,41,0,0.3905,open
MATH_5,3,Spring Y2,105,64,64,0,0.6095,open
PHYS_1,3,Spring Y2,140,90,90,0,0.6429,open
PHYS_2,3,Spring Y2,70,72,70,2,1.0,oversubscribed
CHEM_1,3,Spring Y2,105,71,71,0,0.6762,open
ENGL_1,3,Spring Y2,105,10,10,0,0.0952,open
ENGL_2,3,Spring Y2,70,47,47,0,0.6714,open
GED_1,3,Spring Y2,70,64,64,0,0.9143,open
GED_2,3,Spring Y2,70,49,49,0,0.7,open
GED_3,3,Spring Y2,70,42,42,0,0.6,open
GED_4,3,Spring Y2,70,22,22,0,0.3143,open
GED_5,3,Spring Y2,70,28,28,0,0.4,open
GED_6,3,Spring Y2,70,29,29,0,0.4143,open
GED_7,3,Spring Y2,70,35,35,0,0.5,open
CMPS151,4,Fall Y3,105,105,105,0,1.0,full
CMPS200,4,Fall Y3,105,102,102,0,0.9714,open
CMPS205,4,Fall Y3,140,106,106,0,0.7571,open
CMPS251,4,Fall Y3,105,49,49,0,0.4667,open
CMPS350,4,Fall Y3,70,76,70,6,1.0,oversubscribed
CMPS303,4,Fall Y3,70,81,70,11,1.0,oversubscribed
CMPE263,4,Fall Y3,105,53,53,0,0.5048,open
CMPS380,4,Fall Y3,140,109,109,0,0.7786,open
CMPS310,4,Fall Y3,140,116,116,0,0.8286,open
CMPE355,4,Fall Y3,140,103,103,0,0.7357,open
CMPS493,4,Fall Y3,70,40,40,0,0.5714,open
CMPS499,4,Fall Y3,70,43,43,0,0.6143,open
ELEC_1,4,Fall Y3,70,62,62,0,0.8857,open
ELEC_2,4,Fall Y3,70,60,60,0,0.8571,open
ELEC_3,4,Fall Y3,70,65,65,0,0.9286,open
ELEC_4,4,Fall Y3,70,66,66,0,0.9429,open
SUPP_1,4,Fall Y3,105,100,100,0,0.9524,open
SUPP_2,4,Fall Y3,105,102,102,0,0.9714,open
MATH_1,4,Fall Y3,140,101,101,0,0.7214,open
MATH_2,4,Fall Y3,105,20,20,0,0.1905,open
MATH_3,4,Fall Y3,140,23,23,0,0.1643,open
MATH_4,4,Fall Y3,105,89,89,0,0.8476,open
MATH_5,4,Fall Y3,105,39,39,0,0.3714,open
PHYS_1,4,Fall Y3,140,26,26,0,0.1857,open
PHYS_2,4,Fall Y3,70,52,52,0,0.7429,open
CHEM_1,4,Fall Y3,105,43,43,0,0.4095,open
ENGL_1,4,Fall Y3,105,100,100,0,0.9524,open
ENGL_2,4,Fall Y3,70,78,70,8,1.0,oversubscribed
GED_1,4,Fall Y3,70,31,31,0,0.4429,open
GED_2,4,Fall Y3,70,37,37,0,0.5286,open
GED_3,4,Fall Y3,70,56,56,0,0.8,open
GED_4,4,Fall Y3,70,61,61,0,0.8714,open
GED_5,4,Fall Y3,70,59,59,0,0.8429,open
GED_6,4,Fall Y3,70,50,50,0,0.7143,open
GED_7,4,Fall Y3,70,39,39,0,0.5571,open
CMPS151,5,Spring Y3,105,35,35,0,0.3333,open
CMPS200,5,Spring Y3,105,8,8,0,0.0762,open
CMPS205,5,Spring Y3,140,26,26,0,0.1857,open
CMPS251,5,Spring Y3,105,86,86,0,0.819,open
CMPS350,5,Spring Y3,70,49,49,0,0.7,open
CMPS303,5,Spring Y3,70,57,57,0,0.8143,open
CMPE263,5,Spring Y3,105,68,68,0,0.6476,open
CMPS351,5,Spring Y3,140,117,117,0,0.8357,open
CMPS405,5,Spring Y3,140,117,117,0,0.8357,open
CMPS323,5,Spring Y3,140,116,116,0,0.8286,open
CMPS493,5,Spring Y3,70,42,42,0,0.6,open
CMPS499,5,Spring Y3,70,43,43,0,0.6143,open
ELEC_1,5,Spring Y3,70,41,41,0,0.5857,open
ELEC_2,5,Spring Y3,70,39,39,0,0.5571,open
ELEC_3,5,Spring Y3,70,43,43,0,0.6143,open
ELEC_4,5,Spring Y3,70,38,38,0,0.5429,open
SUPP_1,5,Spring Y3,105,10,10,0,0.0952,open
SUPP_2,5,Spring Y3,105,16,16,0,0.1524,open
MATH_1,5,Spring Y3,140,12,12,0,0.0857,open
MATH_2,5,Spring Y3,105,90,90,0,0.8571,open
MATH_3,5,Spring Y3,140,92,92,0,0.6571,open
MATH_4,5,Spring Y3,105,33,33,0,0.3143,open
MATH_5,5,Spring Y3,105,80,80,0,0.7619,open
PHYS_1,5,Spring Y3,140,93,93,0,0.6643,open
PHYS_2,5,Spring Y3,70,68,68,0,0.9714,open
CHEM_1,5,Spring Y3,105,70,70,0,0.6667,open
ENGL_1,5,Spring Y3,105,15,15,0,0.1429,open
